&BOXOKMC18
&VERSION                     2020_06_07

&UDEFSECTION
&BATCHNUM  3
&ENDUDEFSECTION


&TIME           (in s)      0.0000000E+00
&ISTEP                      0
&TSTEP           (in s)      0.0000000E+00
&IPATCH                     1
&ITIMESECTION               1
 
&LATT     lattice length(in A):      3.1652000E+00
&BOXLOW                (in LU):    -1.00000000E+02  -1.00000000E+02  -1.00000000E+02
&BOXSIZE               (in LU):    2.00000000E+02   2.00000000E+02   2.00000000E+02
&NGRAIN        0
!                Seed ID          x(LU)          y(LU)          z(LU)
&BOXSEINDEX                IBox      SEUsedIndexFrom        SEUsedIndexTo      SEExpdIndexFrom        SEExpdIndexTo   SEVirtualIndexFrom     SEVirtualIndexTo
&BOXSEDATA                  215                 6514                 6552                 6514                 6552                 6514                 6552
&BOXSEDATA                  216                 6553                 6575                 6553                 6575                 6553                 6575
&BOXSEDATA                  217                 6576                 6596                 6576                 6596                 6576                 6596
&BOXSEDATA                  218                 6597                 6629                 6597                 6629                 6597                 6629
&BOXSEDATA                  219                 6630                 6653                 6630                 6653                 6630                 6653
&BOXSEDATA                  220                 6654                 6677                 6654                 6677                 6654                 6677
&BOXSEDATA                  221                 6678                 6703                 6678                 6703                 6678                 6703
&BOXSEDATA                  222                 6704                 6732                 6704                 6732                 6704                 6732
&BOXSEDATA                  223                 6733                 6765                 6733                 6765                 6733                 6765
&BOXSEDATA                  224                 6766                 6785                 6766                 6785                 6766                 6785
&BOXSEDATA                  225                 6786                 6821                 6786                 6821                 6786                 6821
&BOXSEDATA                  226                 6822                 6847                 6822                 6847                 6822                 6847
&BOXSEDATA                  227                 6848                 6878                 6848                 6878                 6848                 6878
&BOXSEDATA                  228                 6879                 6902                 6879                 6902                 6879                 6902
&BOXSEDATA                  229                 6903                 6933                 6903                 6933                 6903                 6933
&BOXSEDATA                  230                 6934                 6966                 6934                 6966                 6934                 6966
&BOXSEDATA                  231                 6967                 7007                 6967                 7007                 6967                 7007
&BOXSEDATA                  232                 7008                 7022                 7008                 7022                 7008                 7022
&BOXSEDATA                  233                 7023                 7058                 7023                 7058                 7023                 7058
&BOXSEDATA                  234                 7059                 7084                 7059                 7084                 7059                 7084
&BOXSEDATA                  235                 7085                 7108                 7085                 7108                 7085                 7108
&BOXSEDATA                  236                 7109                 7152                 7109                 7152                 7109                 7152
&BOXSEDATA                  237                 7153                 7189                 7153                 7189                 7153                 7189
&BOXSEDATA                  238                 7190                 7232                 7190                 7232                 7190                 7232
&BOXSEDATA                  239                 7233                 7255                 7233                 7255                 7233                 7255
&BOXSEDATA                  240                 7256                 7295                 7256                 7295                 7256                 7295
&BOXSEDATA                  241                 7296                 7328                 7296                 7328                 7296                 7328
&BOXSEDATA                  242                 7329                 7363                 7329                 7363                 7329                 7363
&BOXSEDATA                  243                 7364                 7390                 7364                 7390                 7364                 7390
&BOXSEDATA                  244                 7391                 7417                 7391                 7417                 7391                 7417
&BOXSEDATA                  245                 7418                 7443                 7418                 7443                 7418                 7443
&BOXSEDATA                  246                 7444                 7467                 7444                 7467                 7444                 7467
&BOXSEDATA                  247                 7468                 7503                 7468                 7503                 7468                 7503
&BOXSEDATA                  248                 7504                 7525                 7504                 7525                 7504                 7525
&BOXSEDATA                  249                 7526                 7563                 7526                 7563                 7526                 7563
&BOXSEDATA                  250                 7564                 7600                 7564                 7600                 7564                 7600
&BOXSEDATA                  251                 7601                 7640                 7601                 7640                 7601                 7640
&BOXSEDATA                  252                 7641                 7673                 7641                 7673                 7641                 7673
&BOXSEDATA                  253                 7674                 7708                 7674                 7708                 7674                 7708
&BOXSEDATA                  254                 7709                 7735                 7709                 7735                 7709                 7735
&BOXSEDATA                  255                 7736                 7762                 7736                 7762                 7736                 7762
&BOXSEDATA                  256                 7763                 7788                 7763                 7788                 7763                 7788
&BOXSEDATA                  257                 7789                 7812                 7789                 7812                 7789                 7812
&BOXSEDATA                  258                 7813                 7848                 7813                 7848                 7813                 7848
&BOXSEDATA                  259                 7849                 7870                 7849                 7870                 7849                 7870
&BOXSEDATA                  260                 7871                 7908                 7871                 7908                 7871                 7908
&BOXSEDATA                  261                 7909                 7945                 7909                 7945                 7909                 7945
&BOXSEDATA                  262                 7946                 7977                 7946                 7977                 7946                 7977
&BOXSEDATA                  263                 7978                 8005                 7978                 8005                 7978                 8005
&BOXSEDATA                  264                 8006                 8033                 8006                 8033                 8006                 8033
&BOXSEDATA                  265                 8034                 8072                 8034                 8072                 8034                 8072
&BOXSEDATA                  266                 8073                 8095                 8073                 8095                 8073                 8095
&BOXSEDATA                  267                 8096                 8116                 8096                 8116                 8096                 8116
&BOXSEDATA                  268                 8117                 8149                 8117                 8149                 8117                 8149
&BOXSEDATA                  269                 8150                 8173                 8150                 8173                 8150                 8173
&BOXSEDATA                  270                 8174                 8197                 8174                 8197                 8174                 8197
&BOXSEDATA                  271                 8198                 8223                 8198                 8223                 8198                 8223
&BOXSEDATA                  272                 8224                 8252                 8224                 8252                 8224                 8252
&BOXSEDATA                  273                 8253                 8285                 8253                 8285                 8253                 8285
&BOXSEDATA                  274                 8286                 8305                 8286                 8305                 8286                 8305
&BOXSEDATA                  275                 8306                 8341                 8306                 8341                 8306                 8341
&BOXSEDATA                  276                 8342                 8367                 8342                 8367                 8342                 8367
&BOXSEDATA                  277                 8368                 8398                 8368                 8398                 8368                 8398
&BOXSEDATA                  278                 8399                 8422                 8399                 8422                 8399                 8422
&BOXSEDATA                  279                 8423                 8453                 8423                 8453                 8423                 8453
&BOXSEDATA                  280                 8454                 8486                 8454                 8486                 8454                 8486
&BOXSEDATA                  281                 8487                 8527                 8487                 8527                 8487                 8527
&BOXSEDATA                  282                 8528                 8542                 8528                 8542                 8528                 8542
&BOXSEDATA                  283                 8543                 8578                 8543                 8578                 8543                 8578
&BOXSEDATA                  284                 8579                 8604                 8579                 8604                 8579                 8604
